title,lv,url,tags
두 개 뽑아서 더하기,1,https://programmers.co.kr/learn/courses/30/lessons/68644,월간 코드 챌린지 시즌1
크레인 인형뽑기 게임,1,https://programmers.co.kr/learn/courses/30/lessons/64061,2019 카카오 개발자 겨울 인턴십
모든 레코드 조회하기,1,https://programmers.co.kr/learn/courses/30/lessons/59034,SELECT
최댓값 구하기,1,https://programmers.co.kr/learn/courses/30/lessons/59415,"SUM, MAX, MIN"
스킬트리,2,https://programmers.co.kr/learn/courses/30/lessons/49993,Summer/Winter Coding(~2018)
124 나라의 숫자,2,https://programmers.co.kr/learn/courses/30/lessons/12899,연습문제
다리를 지나는 트럭,2,https://programmers.co.kr/learn/courses/30/lessons/42583,스택/큐
기능개발,2,https://programmers.co.kr/learn/courses/30/lessons/42586,스택/큐
멀쩡한 사각형,2,https://programmers.co.kr/learn/courses/30/lessons/62048,Summer/Winter Coding(2019)
프린터,2,https://programmers.co.kr/learn/courses/30/lessons/42587,스택/큐
주식가격,2,https://programmers.co.kr/learn/courses/30/lessons/42584,스택/큐
[1차] 추석 트래픽,3,https://programmers.co.kr/learn/courses/30/lessons/17676,2018 KAKAO BLIND RECRUITMENT
지형 이동,4,https://programmers.co.kr/learn/courses/30/lessons/62050,Summer/Winter Coding(2019)
완주하지 못한 선수,1,https://programmers.co.kr/learn/courses/30/lessons/42576,해시
문자열 압축,2,https://programmers.co.kr/learn/courses/30/lessons/60057,2020 KAKAO BLIND RECRUITMENT
삼각 달팽이,2,https://programmers.co.kr/learn/courses/30/lessons/68645,월간 코드 챌린지 시즌1
카카오프렌즈 컬러링북,2,https://programmers.co.kr/learn/courses/30/lessons/1829,2017 카카오코드 예선
N으로 표현,3,https://programmers.co.kr/learn/courses/30/lessons/42895,동적계획법(Dynamic Programming)
2 x n 타일링,3,https://programmers.co.kr/learn/courses/30/lessons/12900,연습문제
모의고사,1,https://programmers.co.kr/learn/courses/30/lessons/42840,완전탐색
K번째수,1,https://programmers.co.kr/learn/courses/30/lessons/42748,정렬
체육복,1,https://programmers.co.kr/learn/courses/30/lessons/42862,탐욕법(Greedy)
2016년,1,https://programmers.co.kr/learn/courses/30/lessons/12901,연습문제
괄호 변환,2,https://programmers.co.kr/learn/courses/30/lessons/60058,2020 KAKAO BLIND RECRUITMENT
소수 찾기,2,https://programmers.co.kr/learn/courses/30/lessons/42839,완전탐색
가장 큰 수,2,https://programmers.co.kr/learn/courses/30/lessons/42746,정렬
조이스틱,2,https://programmers.co.kr/learn/courses/30/lessons/42860,탐욕법(Greedy)
더 맵게,2,https://programmers.co.kr/learn/courses/30/lessons/42626,힙(Heap)
큰 수 만들기,2,https://programmers.co.kr/learn/courses/30/lessons/42883,탐욕법(Greedy)
풍선 터트리기,3,https://programmers.co.kr/learn/courses/30/lessons/68646,월간 코드 챌린지 시즌1
브라이언의 고민,3,https://programmers.co.kr/learn/courses/30/lessons/1830,2017 카카오코드 예선
H-Index,2,https://programmers.co.kr/learn/courses/30/lessons/42747,정렬
전화번호 목록,2,https://programmers.co.kr/learn/courses/30/lessons/42577,해시
위장,2,https://programmers.co.kr/learn/courses/30/lessons/42578,해시
구명보트,2,https://programmers.co.kr/learn/courses/30/lessons/42885,탐욕법(Greedy)
타겟 넘버,2,https://programmers.co.kr/learn/courses/30/lessons/43165,깊이/너비 우선 탐색(DFS/BFS)
카펫,2,https://programmers.co.kr/learn/courses/30/lessons/42842,완전탐색
자물쇠와 열쇠,3,https://programmers.co.kr/learn/courses/30/lessons/60059,2020 KAKAO BLIND RECRUITMENT
네트워크,3,https://programmers.co.kr/learn/courses/30/lessons/43162,깊이/너비 우선 탐색(DFS/BFS)
3 x n 타일링,4,https://programmers.co.kr/learn/courses/30/lessons/12902,연습문제
4단 고음,4,https://programmers.co.kr/learn/courses/30/lessons/1831,2017 카카오코드 예선
3 x n 타일링,4,https://programmers.co.kr/learn/courses/30/lessons/12902,연습문제
정수 삼각형,3,https://programmers.co.kr/learn/courses/30/lessons/43105,동적계획법(Dynamic Programming)
가장 먼 노드,3,https://programmers.co.kr/learn/courses/30/lessons/49189,그래프
단어 변환,3,https://programmers.co.kr/learn/courses/30/lessons/43163,깊이/너비 우선 탐색(DFS/BFS)
섬 연결하기,3,https://programmers.co.kr/learn/courses/30/lessons/42861,탐욕법(Greedy)
단속카메라,3,https://programmers.co.kr/learn/courses/30/lessons/42884,탐욕법(Greedy)
디스크 컨트롤러,3,https://programmers.co.kr/learn/courses/30/lessons/42627,힙(Heap)
여행경로,3,https://programmers.co.kr/learn/courses/30/lessons/43164,깊이/너비 우선 탐색(DFS/BFS)
입국심사,3,https://programmers.co.kr/learn/courses/30/lessons/43238,이분탐색
이중우선순위큐,3,https://programmers.co.kr/learn/courses/30/lessons/42628,힙(Heap)
등굣길,3,https://programmers.co.kr/learn/courses/30/lessons/42898,동적계획법(Dynamic Programming)
순위,3,https://programmers.co.kr/learn/courses/30/lessons/49191,그래프
베스트앨범,3,https://programmers.co.kr/learn/courses/30/lessons/42579,해시
가운데 글자 가져오기,1,https://programmers.co.kr/learn/courses/30/lessons/12903,연습문제
3진법 뒤집기,1,https://programmers.co.kr/learn/courses/30/lessons/68935,월간 코드 챌린지 시즌1
보행자 천국,3,https://programmers.co.kr/learn/courses/30/lessons/1832,2017 카카오코드 예선
가사 검색,4,https://programmers.co.kr/learn/courses/30/lessons/60060,2020 KAKAO BLIND RECRUITMENT
징검다리,4,https://programmers.co.kr/learn/courses/30/lessons/43236,이분탐색
도둑질,4,https://programmers.co.kr/learn/courses/30/lessons/42897,동적계획법(Dynamic Programming)
쿼드압축 후 개수 세기,2,https://programmers.co.kr/learn/courses/30/lessons/68936,월간 코드 챌린지 시즌1
기둥과 보 설치,3,https://programmers.co.kr/learn/courses/30/lessons/60061,2020 KAKAO BLIND RECRUITMENT
가장 긴 팰린드롬,3,https://programmers.co.kr/learn/courses/30/lessons/12904,연습문제
캠핑,4,https://programmers.co.kr/learn/courses/30/lessons/1833,2017 카카오코드 예선
방의 개수,5,https://programmers.co.kr/learn/courses/30/lessons/49190,그래프
가장 큰 정사각형 찾기,2,https://programmers.co.kr/learn/courses/30/lessons/12905,연습문제
외벽 점검,3,https://programmers.co.kr/learn/courses/30/lessons/60062,2020 KAKAO BLIND RECRUITMENT
트리 트리오 중간값,4,https://programmers.co.kr/learn/courses/30/lessons/68937,월간 코드 챌린지 시즌1
신비로운 유적 탐험,5,https://programmers.co.kr/learn/courses/30/lessons/1834,2017 카카오코드 예선
같은 숫자는 싫어,1,https://programmers.co.kr/learn/courses/30/lessons/12906,연습문제
단체사진 찍기,2,https://programmers.co.kr/learn/courses/30/lessons/1835,2017 카카오코드 본선
블록 이동하기,3,https://programmers.co.kr/learn/courses/30/lessons/60063,2020 KAKAO BLIND RECRUITMENT
문자열의 아름다움,5,https://programmers.co.kr/learn/courses/30/lessons/68938,월간 코드 챌린지 시즌1
리틀 프렌즈 사천성,3,https://programmers.co.kr/learn/courses/30/lessons/1836,2017 카카오코드 본선
거스름돈,3,https://programmers.co.kr/learn/courses/30/lessons/12907,연습문제
GPS,3,https://programmers.co.kr/learn/courses/30/lessons/1837,2017 카카오코드 본선
역순 정렬하기,1,https://programmers.co.kr/learn/courses/30/lessons/59035,SELECT
튜플,2,https://programmers.co.kr/learn/courses/30/lessons/64065,2019 카카오 개발자 겨울 인턴십
올바른 괄호,2,https://programmers.co.kr/learn/courses/30/lessons/12909,연습문제
몸짱 트레이너 라이언의 고민,4,https://programmers.co.kr/learn/courses/30/lessons/1838,2017 카카오코드 본선
직사각형의 넓이,5,https://programmers.co.kr/learn/courses/30/lessons/12974,연습문제
나누어 떨어지는 숫자 배열,1,https://programmers.co.kr/learn/courses/30/lessons/12910,연습문제
튜브의 소개팅,5,https://programmers.co.kr/learn/courses/30/lessons/1839,2017 카카오코드 본선
다음 큰 숫자,2,https://programmers.co.kr/learn/courses/30/lessons/12911,연습문제
스마트한 프로도,5,https://programmers.co.kr/learn/courses/30/lessons/1840,2017 카카오코드 본선
두 정수 사이의 합,1,https://programmers.co.kr/learn/courses/30/lessons/12912,연습문제
IU와 콘의 보드게임,5,https://programmers.co.kr/learn/courses/30/lessons/1841,2017 카카오코드 본선
땅따먹기,2,https://programmers.co.kr/learn/courses/30/lessons/12913,연습문제
네오의 귀걸이,5,https://programmers.co.kr/learn/courses/30/lessons/1842,2017 카카오코드 본선
멀리 뛰기,3,https://programmers.co.kr/learn/courses/30/lessons/12914,연습문제
사칙연산,4,https://programmers.co.kr/learn/courses/30/lessons/1843,찾아라 프로그래밍 마에스터
문자열 내 마음대로 정렬하기,1,https://programmers.co.kr/learn/courses/30/lessons/12915,연습문제
게임 맵 최단거리,4,https://programmers.co.kr/learn/courses/30/lessons/1844,찾아라 프로그래밍 마에스터
문자열 내 p와 y의 개수,1,https://programmers.co.kr/learn/courses/30/lessons/12916,연습문제
폰켓몬,2,https://programmers.co.kr/learn/courses/30/lessons/1845,찾아라 프로그래밍 마에스터
문자열 내림차순으로 배치하기,1,https://programmers.co.kr/learn/courses/30/lessons/12917,연습문제
문자열 다루기 기본,1,https://programmers.co.kr/learn/courses/30/lessons/12918,연습문제
서울에서 김서방 찾기,1,https://programmers.co.kr/learn/courses/30/lessons/12919,연습문제
아픈 동물 찾기,1,https://programmers.co.kr/learn/courses/30/lessons/59036,SELECT
방문 길이,3,https://programmers.co.kr/learn/courses/30/lessons/49994,Summer/Winter Coding(~2018)
불량 사용자,3,https://programmers.co.kr/learn/courses/30/lessons/64064,2019 카카오 개발자 겨울 인턴십
우유와 요거트가 담긴 장바구니,4,https://programmers.co.kr/learn/courses/30/lessons/62284,Summer/Winter Coding(2019)
선입 선출 스케줄링,4,https://programmers.co.kr/learn/courses/30/lessons/12920,연습문제
소수 찾기,1,https://programmers.co.kr/learn/courses/30/lessons/12921,연습문제
수박수박수박수박수박수?,1,https://programmers.co.kr/learn/courses/30/lessons/12922,연습문제
숫자 블록,4,https://programmers.co.kr/learn/courses/30/lessons/12923,연습문제
숫자의 표현,2,https://programmers.co.kr/learn/courses/30/lessons/12924,연습문제
문자열을 정수로 바꾸기,1,https://programmers.co.kr/learn/courses/30/lessons/12925,연습문제
시저 암호,1,https://programmers.co.kr/learn/courses/30/lessons/12926,연습문제
내적,1,https://programmers.co.kr/learn/courses/30/lessons/70128,월간 코드 챌린지 시즌1
이진 변환 반복하기,2,https://programmers.co.kr/learn/courses/30/lessons/70129,월간 코드 챌린지 시즌1
야근 지수,3,https://programmers.co.kr/learn/courses/30/lessons/12927,연습문제
약수의 합,1,https://programmers.co.kr/learn/courses/30/lessons/12928,연습문제
스타 수열,3,https://programmers.co.kr/learn/courses/30/lessons/70130,월간 코드 챌린지 시즌1
어린 동물 찾기,1,https://programmers.co.kr/learn/courses/30/lessons/59037,SELECT
올바른 괄호의 갯수,4,https://programmers.co.kr/learn/courses/30/lessons/12929,연습문제
가짜 해밀토니안,5,https://programmers.co.kr/learn/courses/30/lessons/70132,월간 코드 챌린지 시즌1
이상한 문자 만들기,1,https://programmers.co.kr/learn/courses/30/lessons/12930,연습문제
자릿수 더하기,1,https://programmers.co.kr/learn/courses/30/lessons/12931,연습문제
자연수 뒤집어 배열로 만들기,1,https://programmers.co.kr/learn/courses/30/lessons/12932,연습문제
정수 내림차순으로 배치하기,1,https://programmers.co.kr/learn/courses/30/lessons/12933,연습문제
정수 제곱근 판별,1,https://programmers.co.kr/learn/courses/30/lessons/12934,연습문제
제일 작은 수 제거하기,1,https://programmers.co.kr/learn/courses/30/lessons/12935,연습문제
줄 서는 방법,3,https://programmers.co.kr/learn/courses/30/lessons/12936,연습문제
짝수와 홀수,1,https://programmers.co.kr/learn/courses/30/lessons/12937,연습문제
최고의 집합,3,https://programmers.co.kr/learn/courses/30/lessons/12938,연습문제
동물의 아이디와 이름,1,https://programmers.co.kr/learn/courses/30/lessons/59403,SELECT
키패드 누르기,1,https://programmers.co.kr/learn/courses/30/lessons/67256,2020 카카오 인턴십
최댓값과 최솟값,2,https://programmers.co.kr/learn/courses/30/lessons/12939,연습문제
최솟값 구하기,2,https://programmers.co.kr/learn/courses/30/lessons/59038,"SUM, MAX, MIN"
쿠키 구입,4,https://programmers.co.kr/learn/courses/30/lessons/49995,Summer/Winter Coding(~2018)
호텔 방 배정,4,https://programmers.co.kr/learn/courses/30/lessons/64063,2019 카카오 개발자 겨울 인턴십
최대공약수와 최소공배수,1,https://programmers.co.kr/learn/courses/30/lessons/12940,연습문제
최솟값 만들기,2,https://programmers.co.kr/learn/courses/30/lessons/12941,연습문제
최적의 행렬 곱셈,4,https://programmers.co.kr/learn/courses/30/lessons/12942,연습문제
콜라츠 추측,1,https://programmers.co.kr/learn/courses/30/lessons/12943,연습문제
평균 구하기,1,https://programmers.co.kr/learn/courses/30/lessons/12944,연습문제
피보나치 수,2,https://programmers.co.kr/learn/courses/30/lessons/12945,연습문제
하노이의 탑,3,https://programmers.co.kr/learn/courses/30/lessons/12946,연습문제
하샤드 수,1,https://programmers.co.kr/learn/courses/30/lessons/12947,연습문제
핸드폰 번호 가리기,1,https://programmers.co.kr/learn/courses/30/lessons/12948,연습문제
이름이 없는 동물의 아이디,1,https://programmers.co.kr/learn/courses/30/lessons/59039,IS NULL
여러 기준으로 정렬하기,1,https://programmers.co.kr/learn/courses/30/lessons/59404,SELECT
행렬의 곱셈,2,https://programmers.co.kr/learn/courses/30/lessons/12949,연습문제
동물 수 구하기,2,https://programmers.co.kr/learn/courses/30/lessons/59406,"SUM, MAX, MIN"
수식 최대화,2,https://programmers.co.kr/learn/courses/30/lessons/67257,2020 카카오 인턴십
징검다리 건너기,3,https://programmers.co.kr/learn/courses/30/lessons/64062,2019 카카오 개발자 겨울 인턴십
행렬의 덧셈,1,https://programmers.co.kr/learn/courses/30/lessons/12950,연습문제
JadenCase 문자열 만들기,2,https://programmers.co.kr/learn/courses/30/lessons/12951,연습문제
N-Queen,3,https://programmers.co.kr/learn/courses/30/lessons/12952,연습문제
N개의 최소공배수,2,https://programmers.co.kr/learn/courses/30/lessons/12953,연습문제
x만큼 간격이 있는 n개의 숫자,1,https://programmers.co.kr/learn/courses/30/lessons/12954,연습문제
짝지어 제거하기,2,https://programmers.co.kr/learn/courses/30/lessons/12973,2017 팁스타운
상위 n개 레코드,1,https://programmers.co.kr/learn/courses/30/lessons/59405,SELECT
이름이 있는 동물의 아이디,1,https://programmers.co.kr/learn/courses/30/lessons/59407,IS NULL
고양이와 개는 몇 마리 있을까,2,https://programmers.co.kr/learn/courses/30/lessons/59040,GROUP BY
중복 제거하기,2,https://programmers.co.kr/learn/courses/30/lessons/59408,"SUM, MAX, MIN"
보석 쇼핑,3,https://programmers.co.kr/learn/courses/30/lessons/67258,2020 카카오 인턴십
배달,3,https://programmers.co.kr/learn/courses/30/lessons/12978,Summer/Winter Coding(~2018)
NULL 처리하기,2,https://programmers.co.kr/learn/courses/30/lessons/59410,IS NULL
동명 동물 수 찾기,2,https://programmers.co.kr/learn/courses/30/lessons/59041,GROUP BY
경주로 건설,3,https://programmers.co.kr/learn/courses/30/lessons/67259,2020 카카오 인턴십
스티커 모으기(2),4,https://programmers.co.kr/learn/courses/30/lessons/12971,Summer/Winter Coding(~2018)
소수 만들기,2,https://programmers.co.kr/learn/courses/30/lessons/12977,Summer/Winter Coding(~2018)
직사각형 별찍기,1,https://programmers.co.kr/learn/courses/30/lessons/12969,연습문제
기지국 설치,3,https://programmers.co.kr/learn/courses/30/lessons/12979,Summer/Winter Coding(~2018)
입양 시각 구하기(1),2,https://programmers.co.kr/learn/courses/30/lessons/59412,GROUP BY
없어진 기록 찾기,3,https://programmers.co.kr/learn/courses/30/lessons/59042,JOIN
동굴 탐험,4,https://programmers.co.kr/learn/courses/30/lessons/67260,2020 카카오 인턴십
단어 퍼즐,4,https://programmers.co.kr/learn/courses/30/lessons/12983,2017 팁스타운
점프와 순간 이동,2,https://programmers.co.kr/learn/courses/30/lessons/12980,Summer/Winter Coding(~2018)
숫자 게임,3,https://programmers.co.kr/learn/courses/30/lessons/12987,Summer/Winter Coding(~2018)
있었는데요 없었습니다,3,https://programmers.co.kr/learn/courses/30/lessons/59043,JOIN
입양 시각 구하기(2),4,https://programmers.co.kr/learn/courses/30/lessons/59413,GROUP BY
지형 편집,4,https://programmers.co.kr/learn/courses/30/lessons/12984,Summer/Winter Coding(~2018)
영어 끝말잇기,2,https://programmers.co.kr/learn/courses/30/lessons/12981,Summer/Winter Coding(~2018)
오랜 기간 보호한 동물(1),3,https://programmers.co.kr/learn/courses/30/lessons/59044,JOIN
예상 대진표,2,https://programmers.co.kr/learn/courses/30/lessons/12985,2017 팁스타운
예산,1,https://programmers.co.kr/learn/courses/30/lessons/12982,Summer/Winter Coding(~2018)
보호소에서 중성화한 동물,4,https://programmers.co.kr/learn/courses/30/lessons/59045,JOIN
루시와 엘라 찾기,2,https://programmers.co.kr/learn/courses/30/lessons/59046,"String, Date"
이름에 el이 들어가는 동물 찾기,2,https://programmers.co.kr/learn/courses/30/lessons/59047,"String, Date"
중성화 여부 파악하기,2,https://programmers.co.kr/learn/courses/30/lessons/59409,"String, Date"
오랜 기간 보호한 동물(2),3,https://programmers.co.kr/learn/courses/30/lessons/59411,"String, Date"
DATETIME에서 DATE로 형 변환,2,https://programmers.co.kr/learn/courses/30/lessons/59414,"String, Date"
[1차] 뉴스 클러스터링,2,https://programmers.co.kr/learn/courses/30/lessons/17677,2018 KAKAO BLIND RECRUITMENT
[1차] 셔틀버스,3,https://programmers.co.kr/learn/courses/30/lessons/17678,2018 KAKAO BLIND RECRUITMENT
[1차] 프렌즈4블록,2,https://programmers.co.kr/learn/courses/30/lessons/17679,2018 KAKAO BLIND RECRUITMENT
[1차] 캐시,2,https://programmers.co.kr/learn/courses/30/lessons/17680,2018 KAKAO BLIND RECRUITMENT
[1차] 비밀지도,1,https://programmers.co.kr/learn/courses/30/lessons/17681,2018 KAKAO BLIND RECRUITMENT
오픈채팅방 ,2,https://programmers.co.kr/learn/courses/30/lessons/42888,2019 KAKAO BLIND RECRUITMENT
실패율,1,https://programmers.co.kr/learn/courses/30/lessons/42889,2019 KAKAO BLIND RECRUITMENT
후보키,2,https://programmers.co.kr/learn/courses/30/lessons/42890,2019 KAKAO BLIND RECRUITMENT
무지의 먹방 라이브,4,https://programmers.co.kr/learn/courses/30/lessons/42891,2019 KAKAO BLIND RECRUITMENT
길 찾기 게임,3,https://programmers.co.kr/learn/courses/30/lessons/42892,2019 KAKAO BLIND RECRUITMENT
매칭 점수,3,https://programmers.co.kr/learn/courses/30/lessons/42893,2019 KAKAO BLIND RECRUITMENT
[1차] 다트 게임,1,https://programmers.co.kr/learn/courses/30/lessons/17682,2018 KAKAO BLIND RECRUITMENT
블록 게임,4,https://programmers.co.kr/learn/courses/30/lessons/42894,2019 KAKAO BLIND RECRUITMENT
[3차] 방금그곡,2,https://programmers.co.kr/learn/courses/30/lessons/17683,2018 KAKAO BLIND RECRUITMENT
[3차] 압축,2,https://programmers.co.kr/learn/courses/30/lessons/17684,2018 KAKAO BLIND RECRUITMENT
[3차] 자동완성,4,https://programmers.co.kr/learn/courses/30/lessons/17685,2018 KAKAO BLIND RECRUITMENT
[3차] 파일명 정렬,2,https://programmers.co.kr/learn/courses/30/lessons/17686,2018 KAKAO BLIND RECRUITMENT
[3차] n진수 게임,2,https://programmers.co.kr/learn/courses/30/lessons/17687,2018 KAKAO BLIND RECRUITMENT
